"Podcast: Globaalsed eestlased" ; 543 ; 35
;;; "#035: Joanna-Maria Helinurm – arhitekt, kes mängib füüsilise ning virtuaalse maailma piiril" ; 308 ; 17 ; 1 ; 0
;;; "#034: Kaido Höövelson ehk Baruto – Eesti-Jaapani kultuuride sild" ; 398 ; 28 ; 4 ; 0
;;; "#033 / EV100: Lauri Mälksoo – rahvusriigid, küberajastu ning rahvusvaheline õigus 21. sajandil" ; 526 ; 35 ; 6 ; 0
;;; "#GE032: Marit Zahkna – eesti matemaatikaõpetaja suure maailma avarustes" ; 548 ; 28 ; 5 ; 0
;;; "#031: Riina Raudne – ühiskondlikult keeruliste teemade mõtestaja" ; 566 ; 41 ; 7 ; 0
;;; "#030: Edward Lucas – a sharp pencil, our first e-resident, defender of democracy in Europe" ; 344 ; 19 ; 2 ; 0
;;; "#029: Kaire van der Toorn-Guthan – graafiline disainer, kes vaatab Eestit läbi 100 silmapaari" ; 493 ; 27 ; 3 ; 0
;;; "#028: Arabist Peeter Raudsik – kuidas mõista araabia maid?" ; 588 ; 42 ; 3 ; 0
;;; "#27: Taavi Kotka – kuidas teha Eestit suuremaks?" ; 688 ; 45 ; 12 ; 0
;;; "#026: Allan-Hermann Pool – neuroteadus kui tulevikuvaldkond" ; 547 ; 39 ; 2 ; 0
;;; "#025: President Toomas Hendrik Ilves – inimene, kes aitas Eesti maailmakaardile" ; 843 ; 0 ; 7 ; 0
;;; "#024: Pipedrive’i juht Timo Rein – mis hetkest saab kellestki hea müügiinimene?" ; 965 ; 48 ; 11 ; 0
;;; "#023: sotsiaalantropoloog Aet Annist – kuidas toimib inimene ühiskonnaliikmena?" ; 626 ; 45 ; 3 ; 0
;;; "#022: Martin Kuuskmann – maailma tippu jõudnud fagotivirtuoos, kes mõtleb nagu laulja" ; 516 ; 25 ; 2 ; 0
;;; "#021: Karoli Hindriks – mõtestades lahti 21. sajandi tööjõuturgu" ; 714 ; 47 ; 7 ; 0
;;; "#020: Steve Jurvetson – polymath, world renowned venture capitalist, thinker of human evolution" ; 1697 ; 71 ; 23 ; 0
;;; "#019: Katrin Kalmurand – ettevõtlik eestlanna Peruus ja tema neli elu" ; 701 ; 40 ; 2 ; 0
;;; "#018: Ave Lauren – tõmbe- ja tõukefaktorid inimeste rändes 21. sajandil" ; 451 ; 31 ; 3 ; 0
;;; "#017: Erika Ilves – juristist ärikonsultandiks, futuristist kosmose-ettevõtjaks" ; 541 ; 43 ; 2 ; 0
;;; "#016: Björn Koop – mida tähendab olla autodisainer isesõitvate autode ajastu eel?" ; 596 ; 43 ; 2 ; 0
;;; "#015: Urmas Väljaots – teekond väikesest Eestist suurde parfümeeriamaailma" ; 583 ; 35 ; 2 ; 0
;;; "#014: Marju Randmer-Nellis – otsides kõike, mis teeb hingele pai" ; 897 ; 41 ; 7 ; 0
;;; "#013: Marina Kaljurand – Eesti diplomaatia raudvara, kes paneb end proovile" ; 768 ; 32 ; 4 ; 0
;;; "#012: Aro Velmet – kultuuri- ja teadusajaloolane, kes õpetab küsima “miks?”" ; 982 ; 45 ; 2 ; 0
;;; "#011: Rain Rannu – raamatumüüjast globaalse ettevõtteni; ingelinvestorist filmiprodutsendini" ; 1281 ; 46 ; 9 ; 1
;;; "#010: Jenik Radon – maailmakodanik, kes avas Eestile uksi" ; 676 ; 29 ; 3 ; 0
;;; "#009: Maria Juur – Eesti elektroonilise muusika saadik maailmas" ; 2141 ; 39 ; 16 ; 0
;;; "#008: Jüri Arrak 80 – eesti kunsti grand old man" ; 777 ; 43 ; 3 ; 0
;;; "#007: Marek Kiisa elu kiirteedel – vormelisõitjast autoinseneriks; ettevõtjast ingelinvestoriks" ; 934 ; 47 ; 15 ; 0
;;; "#006: Irma Kaljulaid – 7 keelt rääkiv polüglott, sild Euroopa rahvaste vahel" ; 1064 ; 52 ; 6 ; 0
;;; "#005: Indrek Laul – Juilliardi klaverivirtuoos, Estonia klaverivabriku omanik" ; 795 ; 44 ; 8 ; 0
;;; "#004: Alar Kolk – kuidas päästa Euroopa majandust?" ; 1030 ; 60 ; 8 ; 5
;;; "#003: Mari Joller – kus jookseb piir inimese ja tehisintellekti vahel?" ; 1180 ; 62 ; 7 ; 0
;;; "#002: Hardi Meybaum – TTÜ mehaanikainsenerist USA riskiinvestoriks" ; 1694 ; 54 ; 18 ; 1
;;; "#001: Sten Tamkivi – IT ettevõtja ja reaalmaailma mõtleja" ; 2079 ; 34 ; 23 ; 0
"Hääl/kastis Podcast" ; 11 ; 4
;;; ""Farmer Mäva ja päälinna printsess Mikk" aka "Naiste loogika" ; 44 ; 0 ; 4 ; 0
;;; "jõulud ja jõulutraditsiionid #podcast" ; 55 ; 0 ; 1 ; 0
;;; "Interneti käekiri "nutinoored"" ; 56 ; 0 ; 5 ; 0
;;; "Interneti käekiri" ; 41 ; 0 ; 4 ; 0
"Meie Nädala Lood" ; 1 ; 9
;;; "8. Lugu - DnD" ; 10 ; 1 ; 0 ; 0
;;; "7. lugu - E3" ; 39 ; 0 ; 0 ; 0
;;; "6. lugu  - Rootsi ja Kanye Westi suveprojekt" ; 22 ; 0 ; 0 ; 0
;;; "5. lugu - "Deadpool 2" ja "Always Ascending"+"Tranquility Base Hotel & Casino"" ; 80 ; 0 ; 0 ; 0
;;; "4. lugu - Eesti podcastid ja Fortnite" ; 76 ; 0 ; 1 ; 0
;;; "3. lugu - Stand-up, Lord Huron ja "Atomic Blonde"" ; 30 ; 0 ; 0 ; 0
;;; "2. lugu - "Avengers: Infinity War"" ; 30 ; 0 ; 0 ; 0
;;; "1. lugu - "A Quiet Place" ja ambient videomängud" ; 54 ; 0 ; 1 ; 0
;;; "0. lugu - "The Grand Tour" ja "A Quiet Place"" ; 30 ; 0 ; 1 ; 0
"Mõtteaine" ; 153 ; 2
;;; "02.04.2018 (Facebook ning sinu andmed veebis)" ; 398 ; 1 ; 1 ; 0
;;; "27.03.2018 (Abistamine ja teiste eludesse sekkumine)" ; 465 ; 0 ; 1 ; 0
"Naistejutud" ; 216 ; 50
;;; "66. saade (8.09.2018): kas meest on võimalik ilusaks juua?" ; 845 ; 0 ; 2 ; 1
;;; "65. saade (25.08.2018) in English!: Louis Zezeraniga naistest, deitimisest ja keskeakriisist" ; 1013 ; 0 ; 2 ; 0
;;; "64. saade (18.08.2018): paljastame sekspoe telgitagused!" ; 1364 ; 0 ; 2 ; 0
;;; "63. saade (11.08.2018): Naistejutud otse voodist!" ; 732 ; 0 ; 0 ; 0
;;; "62. saade (4.08.2018): Mida teha, kui seksiisu ära kaob?" ; 1160 ; 0 ; 1 ; 0
;;; "61. saade (21.07.2018): Mis tunne on olla paks?" ; 1096 ; 0 ; 1 ; 0
